#horario,Curso,ID Liga,NRC,Día,Hora Inicio,Hora Fin,Docente
24,ISIA-113,L3,11848,JUE,17:05,17:55,CUEVA CHAVEZ WALTER MANUEL
24,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
24,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
25,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
25,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
25,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
25,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
25,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
25,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
25,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
25,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
26,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
26,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
26,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
26,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
26,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
26,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
26,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
26,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
27,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
27,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
27,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
27,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
27,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
27,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
27,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
27,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
28,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
28,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
28,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
28,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
28,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
28,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
28,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
28,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
29,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
29,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
29,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
29,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
29,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
29,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
29,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
29,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
30,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
30,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
30,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
30,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
30,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
30,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
30,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
30,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
31,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
31,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
31,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
31,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
31,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
31,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
31,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
31,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
32,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
32,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
32,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
32,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
32,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
32,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
32,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
32,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
33,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
33,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
33,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
33,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
33,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
33,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
33,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
33,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
34,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
34,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
34,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
34,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
34,ISIA-113,L2,9623,MIE,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
34,ISIA-113,L2,9623,MIE,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
34,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
34,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
35,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
35,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
35,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
35,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
35,ISIA-113,L2,9623,MIE,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
35,ISIA-113,L2,9623,MIE,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
35,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
35,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
36,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
36,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
36,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
36,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
36,ISIA-113,L2,9623,MIE,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
36,ISIA-113,L2,9623,MIE,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
36,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
36,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
37,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
37,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
37,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
37,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
37,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
37,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
37,ISIA-113,L3,11848,JUE,16:10,17:00,CUEVA CHAVEZ WALTER MANUEL
37,ISIA-113,L3,11848,JUE,17:05,17:55,CUEVA CHAVEZ WALTER MANUEL
37,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
37,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
38,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
38,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
38,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
38,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
38,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
38,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
38,ISIA-113,L3,11848,JUE,16:10,17:00,CUEVA CHAVEZ WALTER MANUEL
38,ISIA-113,L3,11848,JUE,17:05,17:55,CUEVA CHAVEZ WALTER MANUEL
38,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
38,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
39,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
39,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
39,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
39,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
39,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
39,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
39,ISIA-113,L3,11848,JUE,16:10,17:00,CUEVA CHAVEZ WALTER MANUEL
39,ISIA-113,L3,11848,JUE,17:05,17:55,CUEVA CHAVEZ WALTER MANUEL
39,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
39,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
40,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
40,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
40,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
40,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
40,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
40,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
40,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
40,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
40,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
40,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
41,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
41,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
41,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
41,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
41,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
41,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
41,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
41,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
41,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
41,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
42,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
42,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
42,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
42,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
42,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
42,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
42,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
42,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
42,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
42,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
43,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
43,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
43,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
43,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
43,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
43,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
43,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
43,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
43,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
43,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
44,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
44,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
44,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
44,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
44,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
44,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
44,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
44,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
44,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
44,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
45,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
45,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
45,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
45,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
45,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
45,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
45,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
45,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
45,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
45,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
46,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
46,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
46,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
46,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
46,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
46,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
46,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
46,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
46,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
46,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
47,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
47,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
47,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
47,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
47,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
47,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
47,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
47,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
47,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
47,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
48,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
48,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
48,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
48,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
48,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
48,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
48,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
48,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
48,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
48,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
49,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
49,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
49,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
49,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
49,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
49,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
49,ISIA-113,L2,9623,MIE,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
49,ISIA-113,L2,9623,MIE,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
49,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
49,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
50,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
50,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
50,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
50,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
50,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
